year,PD,PI,Imp,cEat,CF
1990,470933856,4441927816,81997,1517729,0.1060201505985031
1991,482795009,2872710471,90920,981331,0.16806253671360674
1992,456141027,4454884873,97260,1431164,0.10239120426311407
1993,352104527,3142240452,75894,941252,0.11205524605091552
1994,655390018,2082740766,122962,677845,0.3146767128674909
1995,539444977,1932429015,95685,642286,0.2791538384140853
1996,652347619,1614808421,125341,623296,0.40397833607780026
1997,746895776,3045355740,129269,1014066,0.24525731630945685
1998,1065442776,2916011405,192559,1127386,0.36537675201582415
1999,1104351294,1389389216,215595,568904,0.7948465997018361
2000,301464780,509009718,68030,325974,0.5922574154075384
2001,434218220,580398819,85695,288461,0.7481376697977051
2002,345201681,1004696215,66764,380698,0.3435881173295751
2003,554230061,1093284568,113228,406769,0.5069403494955396
2004,501804235,1251311766,100364,513386,0.40102254980314794
2005,533631412,1408238322,111664,640034,0.3789354427183384
2006,879406699,1307930148,169329,662278,0.6723651873494394
2007,861036156,995067588,173663,486795,0.8653041927841388
2008,1093493466,1076094390,214804,518738,1.0161687266114268
2009,889985451,1736198349,177918,710792,0.5126058618317463
2010,922617090,874400727,179635,355788,1.055142180823004
2011,900417103,1157079527,168166,619313,0.7781808268050014
2012,2059699513,1451286783,361295,983011,1.4192229524355835
2013,804763578,584740583,135693,402194,1.3762745419022848
2014,1166202137,845023846,203121,498494,1.3800819261140709
2015,1435165976,1278140966,232693,818752,1.1228542188827708
2016,1144891938,945973875,184370,520444,1.2102786009814488
2017,969323179,1160092308,158861,560615,0.8355569400086049
2018,518608212,705957359,92635,280133,0.7346169076481006
2019,1368743554,1970248299,223965,1094062,0.6947061214034324
