name,type,habitat,ele_upper,ele_lower,category
Aegolius funereus,BIRD,For,,,LC
Circus aeruginosus,BIRD,Cro_Gra_Wat_Wet,3000.0,0.0,LC
Circus macrourus,BIRD,Cro_For_Gra_Shr_Wet,4000.0,0.0,NT
Cuculus optatus,BIRD,For_Shr,4500.0,0.0,LC
Falco cherrug,BIRD,Cro_For_Gra_Shr_Wat_Wet,4700.0,0.0,EN
Haliaeetus leucoryphus,BIRD,Wet,5000.0,,EN
Aquila nipalensis,BIRD,Bar_For_Gra,3000.0,0.0,EN
Saxicola torquatus,BIRD,Cro_For_Gra_Imp_Shr_Wet,3200.0,,LC
Upupa epops,BIRD,Gra_Imp,3650.0,,LC
Alaudala rufescens,BIRD,Gra_Shr_Wat,3000.0,,LC
Alectoris chukar,BIRD,Gra_Shr,4500.0,,LC
Anthus richardi,BIRD,Cro,1800.0,,LC
Anthus rubescens,BIRD,Cro_Gra_Wat_Wet,2700.0,,LC
Aquila heliaca,BIRD,Cro_For_Gra_Shr_Wet,1600.0,0.0,VU
Ardea alba,BIRD,Gra_Wat_Wet,1500.0,,LC
Athene noctua,BIRD,Cro_Gra_Imp_Shr,2600.0,,LC
Aythya nyroca,BIRD,Wat_Wet,880.0,0.0,NT
Charadrius leschenaultii,BIRD,Bar_Gra_Wat_Wet,3000.0,,LC
Cyanecula svecica,BIRD,Cro_For_Gra_Imp_Shr_Wat_Wet,2000.0,,LC
Eremophila alpestris,BIRD,Cro_Gra_Shr_Wat,5400.0,,LC
Hirundo rustica,BIRD,Cro_Gra_Imp_Shr_Wat_Wet,3000.0,,LC
Lanius excubitor,BIRD,Bar_For_Gra_Shr_Wet,2800.0,,LC
Motacilla alba,BIRD,Bar_Gra_Wat_Wet,5000.0,,LC
Motacilla citreola,BIRD,Cro_Wat_Wet,4600.0,,LC
Motacilla flava,BIRD,Cro_Gra_Shr_Wat_Wet,4500.0,,LC
Muscicapa striata,BIRD,Cro_For_Gra_Imp_Shr,2200.0,,LC
Phalacrocorax carbo,BIRD,For_Wat_Wet,,,LC
Phoenicurus ochruros,BIRD,Gra_Imp_Shr_Wat,3700.0,,LC
Phylloscopus sindianus,BIRD,For_Shr_Wet,1200.0,1000.0,LC
Podiceps cristatus,BIRD,Wat_Wet,3000.0,0.0,LC
Rallus aquaticus,BIRD,Gra_Wat_Wet,2000.0,,LC
Sterna hirundo,BIRD,Wat_Wet,4000.0,0.0,LC
Streptopelia decaocto,BIRD,Cro_Imp_Shr,,,LC
Curruca curruca,BIRD,Cro_For_Gra_Shr_Wet,2350.0,,LC
Columba eversmanni,BIRD,Bar_Cro_Shr_Wet,,,VU
Columba rupestris,BIRD,Imp_Shr,5500.0,2000.0,LC
Dendrocopos leucopterus,BIRD,Bar_For_Shr,2500.0,,LC
Anthus godlewskii,BIRD,Cro_Gra_Shr_Wet,3000.0,,LC
Anthus roseatus,BIRD,Gra_Wet,5000.0,2700.0,LC
Pyrrhocorax pyrrhocorax,BIRD,Gra_Shr_Wat,,,LC
Calliope calliope,BIRD,Cro_For_Imp_Shr_Wat_Wet,,,LC
Marmaronetta angustirostris,BIRD,Wat_Wet,,,VU
Pelecanus crispus,BIRD,Wat_Wet,,,NT
Oxyura leucocephala,BIRD,Wat_Wet,,,EN
Syrrhaptes tibetanus,BIRD,Bar,6000.0,3600.0,LC
Tadorna ferruginea,BIRD,Cro_Gra_Wat_Wet,,,LC
Curruca nana,BIRD,Bar_Gra_Shr,2200.0,,LC
Lanius isabellinus,BIRD,Cro_Gra_Imp_Shr_Wet,3000.0,,LC
Podoces biddulphi,BIRD,Bar,,,NT
Oenanthe deserti,BIRD,Bar_Cro_Shr,2700.0,,LC
Panurus biarmicus,BIRD,Wet,3050.0,,LC
Phylloscopus fuscatus,BIRD,Cro_For_Gra_Shr_Wet,,,LC
Phylloscopus trochiloides,BIRD,Cro_For_Shr_Wet,4500.0,,LC
Riparia diluta,BIRD,Cro_Gra_Wat_Wet,4500.0,,LC
Rhopophilus albosuperciliaris,BIRD,Gra_Shr,,,LC
Turdus atrogularis,BIRD,Cro_For_Gra_Shr_Wet,4200.0,,LC
Ficedula albicilla,BIRD,For,,,LC
Phylloscopus inornatus,BIRD,For_Shr,2440.0,1000.0,LC
Calandrella acutirostris,BIRD,Bar,5000.0,1000.0,LC
Corvus corax,BIRD,For_Gra_Shr,5000.0,,LC
Helopsaltes certhiola,BIRD,Cro_Gra_Shr_Wet,1900.0,,LC
Mycerobas carnipes,BIRD,For_Shr,4600.0,2800.0,LC
Oenanthe isabellina,BIRD,Bar_Gra_Shr_Wat,2700.0,,LC
Passer ammodendri,BIRD,Bar_Shr,,,LC
Phylloscopus griseolus,BIRD,For_Shr,4575.0,2590.0,LC
Caprimulgus europaeus,BIRD,For_Gra_Shr,2800.0,,LC
Charadrius mongolus,BIRD,Cro_For_Gra_Wat_Wet,,,LC
Apus apus,BIRD,Bar_Cro_For_Gra_Imp_Shr_Wet,3300.0,,LC
Asio flammeus,BIRD,Cro_Gra_Wet,4300.0,,LC
Bubo bubo,BIRD,Cro_For_Shr,4500.0,,LC
Caprimulgus centralasicus,BIRD,Bar,,,DD
Acrocephalus agricola,BIRD,Cro_Wat_Wet,,,LC
Linaria flavirostris,BIRD,Gra_Shr,,,LC
Montifringilla nivalis,BIRD,,,,LC
Passer montanus,BIRD,Cro_For_Imp_Shr,,,LC
Anthus campestris,BIRD,Gra_Shr_Wat,3600.0,,LC
Calandrella brachydactyla,BIRD,Cro_Gra_Shr,,,LC
Anthropoides virgo,BIRD,Bar_Cro_Gra_Shr_Wat_Wet,3000.0,,LC
Buteo hemilasius,BIRD,Bar_Cro_Gra,5000.0,,LC
Anthus trivialis,BIRD,Cro_For_Gra_Shr,4000.0,,LC
Turdus ruficollis,BIRD,For_Gra_Shr,3900.0,,LC
Leucosticte nemoricola,BIRD,Gra,4300.0,1800.0,LC
Prunella fulvescens,BIRD,For_Shr,5100.0,2400.0,LC
Aegypius monachus,BIRD,For_Gra_Shr,4500.0,300.0,NT
Falco naumanni,BIRD,Bar_Cro_Gra_Imp,2400.0,0.0,LC
Mergus merganser,BIRD,For_Wat_Wet,1900.0,1900.0,LC
Pterocles orientalis,BIRD,Bar_Cro_Gra_Shr,,,LC
Dipus sagitta,MAMMALS,Bar_Shr,3000.0,,LC
Phodopus roborovskii,MAMMALS,Bar_Shr,,,LC
Mustela eversmanii,MAMMALS,Gra_Shr,5050.0,0.0,LC
Vulpes corsac,MAMMALS,Bar_Gra_Shr,,,LC
Crocidura sibirica,MAMMALS,Bar_For_Gra_Wet,,,LC
Lynx lynx,MAMMALS,Bar_For_Gra_Shr,5500.0,0.0,LC
Vulpes vulpes,MAMMALS,Bar_Cro_For_Imp_Shr_Wet,4500.0,0.0,LC
Canis lupus,MAMMALS,Bar_For_Gra_Shr_Wet,3000.0,0.0,LC
Mustela nivalis,MAMMALS,Cro_For_Shr_Wat_Wet,3860.0,0.0,LC
Mustela erminea,MAMMALS,For_Gra_Shr_Wet,4050.0,0.0,LC
Hemiechinus auritus,MAMMALS,Bar_Cro_Shr,,,LC
Ochotona macrotis,MAMMALS,,6400.0,2300.0,LC
Ochotona ladacensis,MAMMALS,Gra,5400.0,4200.0,LC
Gazella subgutturosa,MAMMALS,Bar_Gra_Shr,2700.0,0.0,VU
Myotis nipalensis,MAMMALS,Bar_For_Gra_Shr,,,LC
Lepus yarkandensis,MAMMALS,For_Shr,,,NT
Brachiones przewalskii,MAMMALS,Bar,,,LC
Euchoreutes naso,MAMMALS,Bar_Shr,,,LC
Eptesicus gobiensis,MAMMALS,Bar_Gra_Shr,,,LC
Salpingotus kozlovi,MAMMALS,Bar_Gra_Shr,,,LC
Meriones meridianus,MAMMALS,Bar_Shr,1600.0,,LC
Nesokia indica,MAMMALS,Cro_For_Gra_Shr_Wat,1600.0,0.0,LC
Ochotona curzoniae,MAMMALS,Bar_Gra,5000.0,3000.0,LC
Myotis laniger,MAMMALS,For,,,LC
Marmota himalayana,MAMMALS,Bar_Gra_Shr,5500.0,2900.0,LC
Phaiomys leucurus,MAMMALS,For_Gra,4500.0,,LC
Procapra picticaudata,MAMMALS,Gra,5750.0,,NT
Alticola stoliczkanus,MAMMALS,For_Gra_Shr,,4000.0,LC
Mus musculus,MAMMALS,Cro_Imp_Shr_Wat_Wet,,,LC
Cuon alpinus,MAMMALS,For_Gra_Shr,5300.0,0.0,EN
Felis silvestris,MAMMALS,For_Shr_Wet,2250.0,0.0,LC
Alsophylax przewalskii,REPTILES,Bar,1400.0,500.0,LC
Psammophis lineolatus,REPTILES,Bar_Shr_Wet,2600.0,900.0,LC
Phrynocephalus forsythii,REPTILES,Bar,3200.0,887.0,LC
Phrynocephalus axillaris,REPTILES,Bar,3200.0,100.0,LC
Eremias velox,REPTILES,Bar_Cro_Gra_Shr,1900.0,80.0,LC
Eryx tataricus,REPTILES,Bar,1600.0,80.0,LC
Paralaudakia stoliczkana,REPTILES,Bar_For_Shr,2400.0,1200.0,LC
Teratoscincus przewalskii,REPTILES,Bar_Gra,2000.0,500.0,LC
Eremias przewalskii,REPTILES,Bar_For_Shr_Wet,1800.0,500.0,LC
Orientocoluber spinalis,REPTILES,Bar_Cro_For_Shr,2100.0,100.0,LC
Eremias vermiculata,REPTILES,Bar_Shr_Wet,1900.0,600.0,LC
Eremias buechneri,REPTILES,Bar,3500.0,800.0,LC
