year,thekey
1990,0.49166666716337204
1991,0.4063888862729072
1992,0.4186111092567444
1993,0.44805555790662766
1994,0.3377777710556984
1995,0.3722222223877907
1996,0.2352777794003486
1997,0.232499998062849
1998,0.16444444283843035
1999,0.18111111037433142
2000,0.2144444473087787
2001,0.23361111432313914
2002,0.3241666592657566
2003,0.14055555313825602
2004,0.14527777582406992
2005,0.1525000035762787
2006,0.12750000134110445
2007,0.10555555671453473
2008,0.1325000002980232
2009,0.14305555634200567
2010,0.12222222238779064
2011,0.17249999754130835
2012,0.1288888901472091
2013,0.12166666984558101
2014,0.15750000067055223
2015,0.11861111037433145
2016,0.11249999888241288
2017,0.13749999925494194
2018,0.13305555470287794
2019,0.1363888904452323
